iter	Passed	Remaining
747	1614	543
748	1616	541
749	1617	539
750	1619	537
751	1621	534
752	1623	532
753	1625	530
754	1626	527
755	1628	525
756	1630	523
757	1632	521
758	1633	518
759	1635	516
760	1637	514
761	1639	511
762	1640	509
763	1642	507
764	1644	505
765	1646	502
766	1647	500
767	1649	498
768	1651	495
769	1652	493
770	1654	491
771	1656	489
772	1658	487
773	1660	484
774	1661	482
775	1663	480
776	1665	477
777	1666	475
778	1668	473
779	1670	471
780	1672	468
781	1674	466
782	1676	464
783	1678	462
784	1680	460
785	1682	457
786	1683	455
787	1685	453
788	1687	451
789	1689	449
790	1691	446
791	1692	444
792	1694	442
793	1696	440
794	1698	437
795	1700	435
796	1704	434
797	1706	431
798	1708	429
799	1710	427
800	1711	425
801	1713	423
802	1715	420
803	1717	418
804	1718	416
805	1720	414
806	1722	411
807	1724	409
808	1726	407
809	1727	405
810	1729	403
811	1731	400
812	1733	398
813	1734	396
814	1736	394
815	1738	392
816	1740	389
817	1741	387
818	1743	385
819	1744	383
820	1746	380
821	1748	378
822	1750	376
823	1752	374
824	1753	372
825	1755	369
826	1757	367
827	1759	365
828	1760	363
829	1762	361
830	1764	358
831	1766	356
832	1768	354
833	1770	352
834	1772	350
835	1773	347
836	1775	345
837	1777	343
838	1779	341
839	1781	339
840	1782	337
841	1784	334
842	1786	332
843	1788	330
844	1790	328
845	1792	326
846	1793	324
847	1795	321
848	1797	319
849	1798	317
850	1800	315
851	1802	313
852	1804	311
853	1806	308
854	1808	306
855	1810	304
856	1812	302
857	1814	300
858	1816	298
859	1817	295
860	1819	293
861	1821	291
862	1823	289
863	1824	287
864	1826	285
865	1828	282
866	1830	280
867	1832	278
868	1833	276
869	1835	274
870	1837	272
871	1838	269
872	1840	267
873	1842	265
874	1844	263
875	1846	261
876	1848	259
877	1850	257
878	1851	254
879	1853	252
880	1855	250
881	1857	248
882	1859	246
883	1861	244
884	1862	242
885	1864	239
886	1866	237
887	1868	235
888	1869	233
889	1871	231
890	1873	229
891	1875	227
892	1877	224
893	1879	222
894	1880	220
895	1882	218
896	1884	216
897	1886	214
898	1888	212
899	1889	209
900	1891	207
901	1893	205
902	1895	203
903	1897	201
904	1898	199
905	1900	197
906	1902	195
907	1904	192
908	1905	190
909	1907	188
910	1909	186
911	1911	184
912	1913	182
913	1914	180
914	1916	178
915	1918	175
916	1920	173
917	1921	171
918	1923	169
919	1925	167
920	1927	165
921	1929	163
922	1931	161
923	1932	158
924	1934	156
925	1936	154
926	1938	152
927	1940	150
928	1942	148
929	1944	146
930	1946	144
931	1948	142
932	1950	140
933	1951	137
934	1953	135
935	1955	133
936	1957	131
937	1959	129
938	1960	127
939	1962	125
940	1964	123
941	1965	121
942	1967	118
943	1969	116
944	1971	114
945	1973	112
946	1975	110
947	1976	108
948	1978	106
949	1980	104
950	1981	102
951	1983	100
952	1985	97
953	1987	95
954	1988	93
955	1990	91
956	1992	89
957	1993	87
958	1995	85
959	1997	83
960	1999	81
961	2001	79
962	2003	76
963	2005	74
964	2006	72
965	2008	70
966	2010	68
967	2012	66
968	2013	64
969	2015	62
970	2017	60
971	2019	58
972	2020	56
973	2022	53
974	2024	51
975	2026	49
976	2028	47
977	2029	45
978	2031	43
979	2033	41
980	2035	39
981	2036	37
982	2038	35
983	2040	33
984	2042	31
985	2043	29
986	2045	26
987	2047	24
988	2049	22
989	2051	20
990	2052	18
991	2054	16
992	2056	14
993	2058	12
994	2060	10
995	2061	8
996	2063	6
997	2065	4
998	2067	2
999	2069	0
